Province	No of Cases	%
Western	36795	52.60%
Southern	10955	15.66%
Sabaragamuwa	5878	8.40%
Central	5761	8.24%
North Western	3250	4.65%
Eastern	3215	4.60%
Uva	1849	2.64%
North Central	1173	1.68%
Northern	1075	1.54%
