District/ Unit	No of Cases	%
Gampaha	14464	20.68%
Colombo	14004	20.02%
Matara	4977	7.11%
Kalutara	4659	6.66%
Kandy	4570	6.53%
Galle	4007	5.73%
Ratnapura	3998	5.72%
CMC	2854	4.08%
Hambantota	1971	2.82%
Kegalle	1880	2.69%
Kurunegala	1875	2.68%
Puttalam	1375	1.97%
Batticaloa	1285	1.84%
Badulla	968	1.38%
