District/ Unit	No of Cases	%
Monaragala	881	1.26%
Kalmunai	846	1.21%
NIHS	814	1.16%
Jaffna	769	1.10%
Matale	733	1.05%
Anuradhapura	601	0.86%
Trincomalee	596	0.85%
Polonnaruwa	572	0.82%
Ampara	488	0.70%
Nuwaraeliya	458	0.65%
Vavuniya	120	0.17%
Mannar	78	0.11%
Kilinochchi	68	0.10%
Mullaitivu	40	0.06%
