district_id	district_name	n_cases
LK-11	Colombo	12968
LK-11-CMC	CMC	2670
LK-12	Gampaha	12929
LK-13	Kalutara	4283
LK-13-NIHS	NIHS	722
LK-21	Kandy	4019
LK-22	Matale	680
LK-23	Nuwaraeliya	383
LK-31	Galle	3697
LK-32	Matara	4556
LK-33	Hambantota	1813
LK-41	Jaffna	724
LK-42	Mannar	67
LK-43	Vavuniya	105
LK-44	Mullaitivu	38
LK-45	Kilinochchi	59
LK-51	Batticaloa	1238
LK-52	Ampara	442
LK-52-Kalmunai	Kalmunai	799
LK-53	Trincomalee	569
LK-61	Kurunegala	1692
LK-62	Puttalam	1202
LK-71	Anuradhapura	550
LK-72	Polonnaruwa	509
LK-81	Badulla	860
LK-82	Monaragala	799
LK-91	Ratnapura	3734
LK-92	Kegalle	1728
