hospital_name	n_cases_last_week	n_cases_this_week
	28	29
	28	29
	28	29
BH - Balangoda	20	26
BH - Balapitiya	24	23
BH - Dambadeniya	18	17
BH - Gampola	42	37
BH - Kahawatta	23	26
BH - Kamburupitiya	38	23
BH - Karawanella	20	23
BH - Mahiyanganaya	20	19
BH - Marawila	39	49
BH - Mawanella	19	22
BH - Minuwangoda	25	22
BH - Nikaweratiya	18	22
BH - Panadura	92	63
BH - Tangalle	54	43
BH - Warakapola	12	19
BH - Wathupitiwala	28	28
DGH - Awissawella	32	35
DGH - Chilaw	22	17
DGH - Embilipitiya	27	27
DGH - Gampaha	79	64
DGH - Horana	43	31
DGH - Kegalle	26	31
DGH - Matale	19	20
DGH - Matara	187	132
DGH - Nawalapitiya	20	23
DGH - Negombo	140	164
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	78	61
NH - Galle	101	86
NH - Kandy	102	89
NHSL	144	136
NIID	213	185
PGH - Badulla	44	35
TH - Anuradhapura	21	21
TH - Colombo South	178	174
TH - Kalutara	71	58
TH - Kuliyapitiya	34	24
TH - Kurunegala	64	47
TH - Peradeniya	90	65
TH - Ratnapura	64	70
TH – Colombo North	167	131
