district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	250	297	1634	1535	8260	18172
LK-12	Gampaha	164	198	1837	1814	4844	15910
LK-13	Kalutara	73	50	615	524	1371	5920
LK-21	Kandy	145	160	662	660	2582	5108
LK-22	Matale	11	20	66	77	694	800
LK-23	Nuwara Eliya	7	23	61	95	160	521
LK-31	Galle	57	35	439	322	1423	4270
LK-32	Matara	21	25	457	454	1034	5327
LK-33	Hambantota	37	29	185	176	587	2117
LK-41	Jaffna	25	43	49	55	738	812
LK-42	Mannar	2	2	7	14	106	85
LK-43	Vavuniya	0	3	23	11	31	128
LK-44	Mullaitivu	0	0	5	7	16	46
LK-45	Kilinochchi	0	3	11	6	52	74
LK-51	Batticaloa	18	9	61	47	1558	1324
LK-52	Ampara	8	8	55	70	110	541
LK-52-Kalmunai	Kalmunai	3	6	45	51	323	879
LK-53	Trincomalee	11	14	22	28	817	613
LK-61	Kurunegala	53	53	213	256	968	2090
LK-62	Puttalam	8	13	194	231	441	1572
LK-71	Anuradhapura	16	23	69	128	346	728
LK-72	Polonnaruwa	10	9	85	48	232	615
LK-81	Badulla	20	28	170	114	489	1062
LK-82	Monaragala	23	10	97	93	585	962
LK-91	Ratnapura	87	83	372	344	3631	4291
LK-92	Kegalle	41	24	185	225	920	2067
