Province	No of Cases	%
Western	37490	52.63%
Southern	11125	15.62%
Sabaragamuwa	5984	8.40%
Central	5924	8.32%
North Western	3322	4.66%
Eastern	3241	4.55%
Uva	1880	2.64%
North Central	1186	1.66%
Northern	1083	1.52%
