District/ Unit	No of Cases	%
Gampaha	14736	20.69%
Colombo	14229	19.97%
Matara	5053	7.09%
Kalutara	4753	6.67%
Kandy	4696	6.59%
Ratnapura	4071	5.71%
Galle	4051	5.69%
CMC	2928	4.11%
Hambantota	2021	2.84%
Kegalle	1913	2.69%
Kurunegala	1912	2.68%
Puttalam	1410	1.98%
Batticaloa	1293	1.82%
Badulla	982	1.38%
