District/ Unit	No of Cases	%
Monaragala	898	1.26%
Kalmunai	855	1.20%
NIHS	844	1.18%
Jaffna	774	1.09%
Matale	755	1.06%
Anuradhapura	610	0.86%
Trincomalee	597	0.84%
Polonnaruwa	576	0.81%
Ampara	496	0.70%
Nuwaraeliya	473	0.66%
Vavuniya	120	0.17%
Mannar	78	0.11%
Kilinochchi	69	0.10%
Mullaitivu	42	0.06%
