district_id	district_name	n_cases
LK-11	Colombo	19008
LK-11-CMC	CMC	3862
LK-12	Gampaha	20444
LK-13	Kalutara	6181
LK-13-NIHS	NIHS	1265
LK-21	Kandy	7043
LK-22	Matale	991
LK-23	Nuwaraeliya	754
LK-31	Galle	5232
LK-32	Matara	6154
LK-33	Hambantota	2545
LK-41	Jaffna	970
LK-42	Mannar	95
LK-43	Vavuniya	165
LK-44	Mullaitivu	75
LK-45	Kilinochchi	91
LK-51	Batticaloa	1532
LK-52	Ampara	678
LK-52-Kalmunai	Kalmunai	1119
LK-53	Trincomalee	683
LK-61	Kurunegala	2716
LK-62	Puttalam	2103
LK-71	Anuradhapura	971
LK-72	Polonnaruwa	751
LK-81	Badulla	1505
LK-82	Monaragala	1197
LK-91	Ratnapura	5101
LK-92	Kegalle	2809
