district_id	district_name	n_cases
LK-11	Colombo	19142
LK-11-CMC	CMC	3879
LK-12	Gampaha	20601
LK-13	Kalutara	6212
LK-13-NIHS	NIHS	1277
LK-21	Kandy	7164
LK-22	Matale	998
LK-23	Nuwaraeliya	758
LK-31	Galle	5277
LK-32	Matara	6178
LK-33	Hambantota	2561
LK-41	Jaffna	983
LK-42	Mannar	95
LK-43	Vavuniya	165
LK-44	Mullaitivu	75
LK-45	Kilinochchi	92
LK-51	Batticaloa	1547
LK-52	Ampara	685
LK-52-Kalmunai	Kalmunai	1148
LK-53	Trincomalee	686
LK-61	Kurunegala	2737
LK-62	Puttalam	2122
LK-71	Anuradhapura	987
LK-72	Polonnaruwa	762
LK-81	Badulla	1525
LK-82	Monaragala	1209
LK-91	Ratnapura	5127
LK-92	Kegalle	2855
