Province	No of Cases	%
Western	49771	52.93%
Southern	13763	14.64%
Central	8519	9.06%
Sabaragamuwa	7716	8.21%
North Western	4685	4.98%
Eastern	3896	4.14%
Uva	2642	2.81%
North Central	1681	1.79%
Northern	1364	1.45%
