District/ Unit	No of Cases	%
NIHS	1219	1.30%
Monaragala	1174	1.25%
Kalmunai	1072	1.14%
Matale	976	1.04%
Jaffna	942	1.00%
Anuradhapura	937	1.00%
Polonnaruwa	744	0.79%
Nuwaraeliya	725	0.77%
Trincomalee	676	0.72%
Ampara	642	0.68%
Vavuniya	162	0.17%
Mannar	94	0.10%
Kilinochchi	91	0.10%
Mullaitivu	75	0.08%
