District/ Unit	No of Cases	%
Gampaha	20034	21.30%
Colombo	18652	19.83%
Kandy	6818	7.25%
Matara	6093	6.48%
Kalutara	6079	6.46%
Galle	5160	5.49%
Ratnapura	5003	5.32%
CMC	3787	4.03%
Kegalle	2713	2.89%
Kurunegala	2651	2.82%
Hambantota	2510	2.67%
Puttalam	2034	2.16%
Batticaloa	1506	1.60%
Badulla	1468	1.56%
