district_id	district_name	n_cases
LK-11	Colombo	19492
LK-11-CMC	CMC	3962
LK-12	Gampaha	21028
LK-13	Kalutara	6314
LK-13-NIHS	NIHS	1314
LK-21	Kandy	7484
LK-22	Matale	1045
LK-23	Nuwaraeliya	792
LK-31	Galle	5412
LK-32	Matara	6252
LK-33	Hambantota	2619
LK-41	Jaffna	1031
LK-42	Mannar	95
LK-43	Vavuniya	167
LK-44	Mullaitivu	79
LK-45	Kilinochchi	96
LK-51	Batticaloa	1580
LK-52	Ampara	708
LK-52-Kalmunai	Kalmunai	1216
LK-53	Trincomalee	695
LK-61	Kurunegala	2787
LK-62	Puttalam	2168
LK-71	Anuradhapura	1024
LK-72	Polonnaruwa	779
LK-81	Badulla	1575
LK-82	Monaragala	1236
LK-91	Ratnapura	5205
LK-92	Kegalle	2986
