District/ Unit	No of Cases	%
Kalmunai	799	1.25%
Monaragala	799	1.25%
Jaffna	724	1.13%
NIHS	722	1.13%
Matale	680	1.07%
Trincomalee	569	0.89%
Anuradhapura	550	0.86%
Polonnaruwa	509	0.80%
Ampara	442	0.69%
Nuwaraeliya	383	0.60%
Vavuniya	105	0.16%
Mannar	67	0.10%
Kilinochchi	59	0.09%
Mullaitivu	38	0.06%
