Province	No of Cases	%
Western	33572	52.59%
Southern	10066	15.77%
Sabaragamuwa	5462	8.56%
Central	5082	7.96%
Eastern	3048	4.77%
North Western	2894	4.53%
Uva	1659	2.60%
North Central	1059	1.66%
Northern	993	1.56%
