District/ Unit	No of Cases	%
Colombo	12968	20.31%
Gampaha	12929	20.25%
Matara	4556	7.14%
Kalutara	4283	6.71%
Kandy	4019	6.30%
Ratnapura	3734	5.85%
Galle	3697	5.79%
CMC	2670	4.18%
Hambantota	1813	2.84%
Kegalle	1728	2.71%
Kurunegala	1692	2.65%
Batticaloa	1238	1.94%
Puttalam	1202	1.88%
Badulla	860	1.35%
