district_id	district_name	n_cases
LK-11	Colombo	13706
LK-11-CMC	CMC	2806
LK-12	Gampaha	13976
LK-13	Kalutara	4548
LK-13-NIHS	NIHS	787
LK-21	Kandy	4428
LK-22	Matale	718
LK-23	Nuwaraeliya	414
LK-31	Galle	3910
LK-32	Matara	4834
LK-33	Hambantota	1913
LK-41	Jaffna	751
LK-42	Mannar	68
LK-43	Vavuniya	117
LK-44	Mullaitivu	40
LK-45	Kilinochchi	67
LK-51	Batticaloa	1274
LK-52	Ampara	465
LK-52-Kalmunai	Kalmunai	828
LK-53	Trincomalee	585
LK-61	Kurunegala	1816
LK-62	Puttalam	1312
LK-71	Anuradhapura	595
LK-72	Polonnaruwa	561
LK-81	Badulla	939
LK-82	Monaragala	857
LK-91	Ratnapura	3937
LK-92	Kegalle	1819
