District/ Unit	No of Cases	%
Monaragala	830	1.26%
Kalmunai	818	1.24%
NIHS	756	1.14%
Jaffna	737	1.12%
Matale	693	1.05%
Trincomalee	580	0.88%
Anuradhapura	569	0.86%
Polonnaruwa	544	0.82%
Ampara	457	0.69%
Nuwaraeliya	391	0.59%
Vavuniya	112	0.17%
Mannar	68	0.10%
Kilinochchi	65	0.10%
Mullaitivu	40	0.06%
