District/ Unit	No of Cases	%
Gampaha	13556	20.52%
Colombo	13355	20.22%
Matara	4699	7.11%
Kalutara	4425	6.70%
Kandy	4196	6.35%
Ratnapura	3825	5.79%
Galle	3819	5.78%
CMC	2736	4.14%
Hambantota	1854	2.81%
Kegalle	1769	2.68%
Kurunegala	1759	2.66%
Batticaloa	1261	1.91%
Puttalam	1259	1.91%
Badulla	891	1.35%
