Province	No of Cases	%
Western	34828	52.72%
Southern	10372	15.70%
Sabaragamuwa	5594	8.47%
Central	5280	7.99%
Eastern	3116	4.72%
North Western	3018	4.57%
Uva	1721	2.61%
North Central	1113	1.68%
Northern	1022	1.55%
