District/ Unit	No of Cases	%
Gampaha	15082	20.82%
Colombo	14447	19.95%
Matara	5124	7.07%
Kalutara	4808	6.64%
Kandy	4775	6.59%
Galle	4109	5.67%
Ratnapura	4104	5.67%
CMC	2967	4.10%
Hambantota	2041	2.82%
Kegalle	1969	2.72%
Kurunegala	1966	2.71%
Puttalam	1442	1.99%
Batticaloa	1302	1.80%
Badulla	1005	1.39%
