Province	No of Cases	%
Western	38160	52.69%
Southern	11274	15.57%
Sabaragamuwa	6073	8.38%
Central	6026	8.32%
North Western	3408	4.71%
Eastern	3262	4.50%
Uva	1926	2.66%
North Central	1210	1.67%
Northern	1091	1.51%
