District/ Unit	No of Cases	%
Monaragala	921	1.27%
Kalmunai	859	1.19%
NIHS	856	1.18%
Jaffna	779	1.08%
Matale	768	1.06%
Anuradhapura	628	0.87%
Trincomalee	597	0.82%
Polonnaruwa	582	0.80%
Ampara	504	0.70%
Nuwaraeliya	483	0.67%
Vavuniya	123	0.17%
Mannar	78	0.11%
Kilinochchi	69	0.10%
Mullaitivu	42	0.06%
