Province	No of Cases	%
Western	31249	52.40%
Southern	9507	15.94%
Sabaragamuwa	5172	8.67%
Central	4646	7.79%
Eastern	2955	4.95%
North Western	2662	4.46%
Uva	1520	2.55%
North Central	979	1.64%
Northern	948	1.59%
