District/ Unit	No of Cases	%
Colombo	12158	20.39%
Gampaha	11925	20.00%
Matara	4359	7.31%
Kalutara	4006	6.72%
Kandy	3670	6.15%
Ratnapura	3557	5.96%
Galle	3434	5.76%
CMC	2512	4.21%
Hambantota	1714	2.87%
Kegalle	1615	2.71%
Kurunegala	1556	2.61%
Batticaloa	1210	2.03%
Puttalam	1106	1.85%
Kalmunai	778	1.30%
