District/ Unit	No of Cases	%
Badulla	764	1.28%
Monaragala	756	1.27%
Jaffna	701	1.18%
NIHS	648	1.09%
Matale	636	1.07%
Trincomalee	555	0.93%
Anuradhapura	506	0.85%
Polonnaruwa	473	0.79%
Ampara	412	0.69%
Nuwaraeliya	340	0.57%
Vavuniya	94	0.16%
Mannar	62	0.10%
Kilinochchi	56	0.09%
Mullaitivu	35	0.06%
