District/ Unit	No of Cases	%
Monaragala	1029	1.25%
NIHS	1007	1.23%
Kalmunai	918	1.12%
Matale	835	1.02%
Jaffna	834	1.02%
Anuradhapura	764	0.93%
Polonnaruwa	664	0.81%
Trincomalee	621	0.76%
Nuwaraeliya	599	0.73%
Ampara	571	0.70%
Vavuniya	136	0.17%
Mannar	89	0.11%
Kilinochchi	78	0.10%
Mullaitivu	49	0.06%
