District/ Unit	No of Cases	%
Gampaha	17395	21.21%
Colombo	16294	19.87%
Matara	5639	6.88%
Kandy	5634	6.87%
Kalutara	5355	6.53%
Ratnapura	4553	5.55%
Galle	4534	5.53%
CMC	3337	4.07%
Kurunegala	2287	2.79%
Hambantota	2246	2.74%
Kegalle	2240	2.73%
Puttalam	1728	2.11%
Batticaloa	1370	1.67%
Badulla	1205	1.47%
