Province	No of Cases	%
Western	43388	52.91%
Southern	12419	15.14%
Central	7068	8.62%
Sabaragamuwa	6793	8.28%
North Western	4015	4.90%
Eastern	3480	4.24%
Uva	2234	2.72%
North Central	1428	1.74%
Northern	1186	1.45%
