hospital_name	n_cases_last_week	n_cases_this_week
	0	3435
	0	3435
	0	3435
BH - Balangoda	8	4
BH - Balapitiya	6	4
BH - Dambadeniya	7	4
BH - Gampola	11	8
BH - Kahawatta	4	4
BH - Kamburupitiya	10	7
BH - Karawanella	16	9
BH - Mahiyanganaya	5	6
BH - Marawila	10	5
BH - Mawanella	5	6
BH - Mirigama	3	4
BH - Panadura	13	11
BH - Tangalle	6	7
BH - Wathupitiwala	14	15
BH – Kalmunai North	8	5
DGH - Ampara	5	6
DGH - Avissawella	14	14
DGH - Chilaw	3	5
DGH - Gampaha	30	20
DGH - Horana	7	5
DGH - Matale	5	5
DGH - Matara	18	15
DGH - Monaragala	3	4
DGH - Nawalapitiya	12	7
DGH - Negambo	29	23
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	16	17
NH - Kandy	31	24
NH – Galle	22	12
NHSL	32	25
NIID	56	40
PGH - Badulla	12	8
TH - Anuradhapura	9	7
TH - Colombo South	38	27
TH - Kalutara	19	14
TH - Kuliyapitiya	5	5
TH - Kurunegala	10	10
TH - Peradeniya	25	19
TH - Ratnapura	21	14
TH – Colombo North	29	27
