district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	114	121	441	295	9210	22725
LK-12	Gampaha	63	68	369	271	5449	20307
LK-13	Kalutara	44	32	137	94	1604	7393
LK-21	Kandy	74	72	187	152	3191	6962
LK-22	Matale	17	19	15	11	791	988
LK-23	Nuwara Eliya	6	3	18	10	202	741
LK-31	Galle	37	37	92	54	1691	5214
LK-32	Matara	18	19	56	43	1225	6129
LK-33	Hambantota	11	13	45	15	691	2532
LK-41	Jaffna	7	10	16	17	814	960
LK-42	Mannar	1	2	2	1	119	95
LK-43	Vavuniya	3	0	1	3	37	165
LK-44	Mullaitivu	1	0	2	0	19	73
LK-45	Kilinochchi	0	3	1	0	58	92
LK-51	Batticaloa	6	11	24	17	1604	1523
LK-52	Ampara	1	0	11	23	119	667
LK-52-Kalmunai	Kalmunai	2	2	29	31	347	1103
LK-53	Trincomalee	1	2	8	3	841	679
LK-61	Kurunegala	22	13	49	38	1140	2690
LK-62	Puttalam	7	9	34	38	523	2071
LK-71	Anuradhapura	15	5	42	15	396	952
LK-72	Polonnaruwa	6	5	15	4	274	748
LK-81	Badulla	15	15	42	25	568	1492
LK-82	Monaragala	13	7	25	17	659	1193
LK-91	Ratnapura	75	70	58	54	4091	5060
LK-92	Kegalle	24	14	83	65	1068	2777
