District/ RDHS	No. of cases					
	2025		2026		Up to Week 34	
					2025	2026
	Week  33	Week 34	Week  33	Week 34		
Colombo	117	114	625*	442	9088	22436
Gampaha	100	63	605*	369	5381	20036
Kalutara	32	44	165*	136	1572	7298
Kandy	85	74	273	188	3119	6817
Matale	12	17	31*	15	772	977
Nuwara Eliya	8	6	31	18	199	725
Galle	40	37	120*	92	1654	5161
Hambantota	16	11	51	44	678	2510
Matara	29	18	92	57	1206	6092
Jaffna	10	7	9	16	804	943
Kilinochchi	2	Nil	8	1	55	92
Mannar	1	1	1	2	117	94
Vavuniya	Nil	3	9	1	37	162
Mullaitivu	1	1	3	2	19	73
Batticaloa	6	6	32*	24	1593	1506
Ampara	2	1	19	11	119	644
Trincomalee	3	1	15	8	839	676
Kalmunai*	10	2	59	29	345	1072
Kurunegala	22	22	68	49	1127	2652
Puttalam	8	7	65	34	514	2033
Anuradhapura	4	15	37	42	391	937
Polonnaruwa	18	6	19	15	269	744
Badulla	13	15	65*	41	553	1466
Monaragala	18	13	25	25	652	1176
Ratnapura	49	75	85*	58	4021	5001
Kegalle	16	24	101*	83	1054	2712
Total*	622	583	2613*		1802  36178  94035	
