MOH Area	Cases reported	
	Week 33	Week 34
Wattala	47	32
Kalutara District		
Bandaragama	15	11
Horana	10	13
Panadura	40	42
NIHS		
Kalutara	12	15
SOUTHERN PROVINCE		
Galle District		
MC-Galle	26	12
Hambantota District		
Katuwana	13	10
Tangalle	6	11
CENTRAL PROVINCE		
Kandy District		
Bambaradeniya	8	12
Kandy MC	39	31
