MOH Area	Cases reported		
	Week 33	Week 34	
D3-CMC	19	17	
D4-CMC	13	13	
D5-CMC	9	11	
Gampaha District			
Aththanagalla	34	21	
Biyagama	40	35	
Gampaha	58	23	
Ja-Ela	51	20	
Katana	51	17	
Kelaniya	43	19	
Mahara	58	43	
Meerigama	27	10	
Minuwangoda	36	26	
Negombo	37	16	
Pugoda(Dompe)	51	66	
Ragama	26	11	
Seeduwa	32	22	
