Deaths reported in 2026 [Age & Sex]					
Age Group (Yrs)	Male	Female	Age Group (Yrs)	Male	Female
0-14	2	4	45 - 54	3	9
15-24	2	6	55 - 64	3	3
25-34	3	7	> 64	7	16
35-44	1	5	Total	21	50
