Deaths reported in 2026 [Districts/Admin area]					
District/area	No*	District/area	No*	District/area	No*
Colombo RDHS	14	Gampaha	12	Matara	8
Kandy	4	Kalutara RDHS	5	Galle	3
Kurunegala	3	Ratnapura	6	Kegalle	3
Puttalam	3	Anuradhapura	1	Badulla	1
Batticaloa	1	Hambantota	2	NuwaraEliya	1
Polonnaruwa	1	CMC	1	Trincomalee	1
Matale	1				
