Province	No of Cases	%
Western	25167	52.12%
Southern	7743	16.04%
Sabaragamuwa	4420	9.15%
Central	3507	7.26%
Eastern	2617	5.42%
North Western	2080	4.31%
Uva	1180	2.44%
Northern	848	1.76%
North Central	725	1.50%
