District/ Unit	No of Cases	%
Jaffna	636	1.32%
Monaragala	607	1.26%
Badulla	573	1.19%
Matale	534	1.11%
Trincomalee	506	1.05%
NIHS	488	1.01%
Anuradhapura	364	0.75%
Polonnaruwa	361	0.75%
Ampara	322	0.67%
Nuwaraeliya	241	0.50%
Vavuniya	82	0.17%
Kilinochchi	50	0.10%
Mannar	47	0.10%
Mullaitivu	33	0.07%
