Province	No of Cases	%		
Western	51679	52.69%		
Southern	14143	14.42%		
Central	9130	9.31%		
Sabaragamuwa	8091	8.25%		
North Western	4915	5.01%		
Eastern	4127	4.21%		
Uva	2777	2.83%		
North Central	1783	1.82%		
Northern	1436	1.46%		
High - risk MOH Areas [Week 36, 2026]			35	
