District/ Unit	No of Cases	%
Gampaha	20831	21.24%
Colombo	19359	19.74%
Kandy	7340	7.48%
Kalutara	6270	6.39%
Matara	6216	6.34%
Galle	5343	5.45%
Ratnapura	5169	5.27%
CMC	3924	4.00%
Kegalle	2922	2.98%
Kurunegala	2768	2.82%
Hambantota	2584	2.63%
Puttalam	2147	2.19%
Batticaloa	1564	1.59%
Badulla	1558	1.59%
