District/Unit	No of Cases	%
NIHS	1295	1.32%
Monaragala	1219	1.24%
Kalmunai	1176	1.20%
Matale	1013	1.03%
Anuradhapura	1012	1.03%
Jaffna	1002	1.02%
Nuwaraeliya	777	0.79%
Polonnaruwa	771	0.79%
Trincomalee	693	0.71%
Ampara	694	0.71%
Vavuniya	166	0.17%
Mannar	95	0.10%
Kilinochchi	94	0.10%
Mullaitivu	79	0.08%
