district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	259	329	1292	1174	7483	12993
LK-12	Gampaha	183	193	1256	1750	4329	10260
LK-13	Kalutara	58	74	452	463	1197	4025
LK-21	Kandy	189	172	438	486	2130	3105
LK-22	Matale	12	16	49	42	649	551
LK-23	Nuwara Eliya	14	6	50	50	117	273
LK-31	Galle	85	61	250	247	1278	3042
LK-32	Matara	51	45	379	364	952	3736
LK-33	Hambantota	28	26	185	144	490	1512
LK-41	Jaffna	33	6	23	26	655	625
LK-42	Mannar	6	0	0	7	102	50
LK-43	Vavuniya	1	0	5	4	28	84
LK-44	Mullaitivu	3	1	0	1	14	34
LK-45	Kilinochchi	1	1	3	5	48	52
LK-51	Batticaloa	27	18	45	46	1513	1141
LK-52	Ampara	2	5	27	55	89	347
LK-52-Kalmunai	Kalmunai	8	7	29	43	293	696
LK-53	Trincomalee	15	6	22	24	788	503
LK-61	Kurunegala	65	41	94	184	806	1346
LK-62	Puttalam	18	4	113	171	407	978
LK-71	Anuradhapura	17	17	51	95	301	436
LK-72	Polonnaruwa	8	9	43	58	204	412
LK-81	Badulla	28	14	56	97	424	640
LK-82	Monaragala	40	13	88	88	524	660
LK-91	Ratnapura	110	107	157	193	3351	3197
LK-92	Kegalle	44	38	131	192	829	1454
