hospital_name	n_cases_last_week	n_cases_this_week
BH - Balapitiya	15	20
BH - Dambadeniya	9	18
BH - Kahawatta	18	18
BH - Karawanella	17	17
BH - Mawanella	14	19
BH - Minuwangoda	19	18
BH - Panadura	67	82
BH - Warakapola	12	17
DGH - Ampara	9	22
DGH - Chilaw	18	19
DGH - Gampaha	54	79
DGH - Matale	11	18
DGH - Nawalapitiya	15	18
DGH - Negombo	133	164
DGH - Polonnaruwa	12	19
NH - Galle	93	111
NH - Kandy	78	93
NHSL	118	153
NIID	198	212
TH - Colombo North	128	137
TH - Colombo South	152	159
TH - Kalutara	52	62
TH - Kurunegala	54	71
TH - Peradeniya	60	87
TH - Ratnapura	76	80
TH-Matara	186	197
