Deaths reported in 2026 [Age & Sex]					
Age Group (Yrs)	Male	Female	Age Group (Yrs)	Male	Female
0-14	2	4	45 - 54	2	8
15-24	1	5	55 - 64	3	2
25-34	3	6	> 64	5	15
35-44	1	5	Total	17	45
