Deaths reported in 2026 [Districts/Admin area]					
District/area	No*	District/area	No*	District/area	No*
Colombo	15	Gampaha	11	Matara	7
Kandy	4	Kalutara	3	Galle	3
Kurunegala	3	Ratnapura	3	Kegalle	3
Hambantota	2	Anuradhapura	1	Badulla	1
Batticaloa	1	NIHS Kalutara	1	NuwaraEliya	1
Polonnaruwa	1	Puttalam	1	Trincomalee	1
