MOH Area	Cases reported	
	Week 30	Week 31
WESTERN PROVINCE		
Colombo District		
Battaramulla	65	49
Boralesgamuwa	65	38
Dehiwala	49	36
Egodauyana	49	27
Gothatuwa	81	76
Hanwella	43	37
Homagama	76	56
Kaduwela	105	71
Kahathuduwa	51	30
Kolonnawa	18	17
Maharagama	183	135
Moratuwa	49	40
Nugegoda	71	46
Padukka	37	28
Piliyandala	110	65
Pitakotte	55	43
Rathmalana	73	33
CMC		
D1-CMC	49	35
D2A-CMC	54	30
D2B-CMC	27	20
D3-CMC	42	37
D4-CMC	46	32
D5-CMC	27	14
Gampaha District		
Aththanagalla	58	50
Biyagama	164	111
Divulapitiya	32	18
Gampaha	91	57
Ja-Ela	137	73
Katana	83	54
Kelaniya	168	103
Mahara	211	109
Meerigama	34	27
Minuwangoda	86	44
Negombo	88	55
