MOH Area	Cases reported	
	Week 30	Week 31
Yakkalamulla	19	18
Hambantota District		
Ambalantota	11	10
Angunukolapelassa	9	13
Katuwana	23	12
Tangalle	33	29
Weeraketiya	6	11
CENTRAL PROVINCE		
Kandy District		
Akurana	13	12
Bambaradeniya	17	11
Gampola	32	39
Gangawata Korale	38	20
Hasalaka	9	10
Hatharaliyadda	8	12
Kandy MC	89	68
Kundasale	24	21
Menikhinna	26	17
Pasbage	47	18
Poojapitiya	10	14
Thalathuoya	14	11
Udunuwara	24	22
Werellagama	49	31
Yatinuwara	44	38
Matale District		
Galewela	4	19
Nuwara Eliya District		
Rikillagaskada	14	13
SABARAGAMUWA PROVINCE		
Ratnapura District		
Eheliyagoda	21	23
Kiriella	20	12
Kuruvita	26	13
Pelmadulla	20	18
Rathnapura MC	34	21
Ratnapura PS	18	22
Kegalle District		
