District/ RDHS	No. of cases					
	2025		2026		Up to Week 31	
					2025	2026
	Week  30	Week 31	Week  30	Week 31		
Colombo	218	264	1448*	1004	8742	20606
Gampaha	154	132	1501*	931	5130	18322
Kalutara	47	42	444*	372	1460	6745
Kandy	133	139	525*	390	2854	6032
Matale	10	15	36*	47	719	884
Nuwara Eliya	13	8	77*	49	181	650
Galle	78	44	267*	246	1545	4783
Hambantota	31	15	123	96	633	2342
Matara	57	46	320	208	1137	5846
Jaffna	20	15	23	44	773	876
Kilinochchi	1	Nil	5	2	53	81
Mannar	5	1	1*	4	112	90
Vavuniya	1	Nil	8	10	32	146
Mullaitivu	Nil	1	2	6	17	54
Batticaloa	9	6	42*	49	1573	1415
Ampara	3	Nil	30	27	113	599
Trincomalee	6	10	8	20	833	641
Kalmunai*	7	2	38	32	332	949
Kurunegala	55	27	199*	142	1050	2439
Puttalam	29	17	152*	119	487	1838
Anuradhapura	6	15	64	64	367	828
Polonnaruwa	4	4	49	33	240	697
Badulla	14	12	148	101	515	1306
Monaragala	13	13	66*	65	611	1098
Ratnapura	108	82	254*	159	3821	4705
Kegalle	34	32	174	171	986	2411
Total*	1056	942	6004*		4391  34316  86383	
