MOH Area	Cases reported	
	Week 30	Week 31
Dehiovita	20	20
Deraniyagala	6	10
Kegalle	13	10
Mawanella	39	41
Rambukkana	15	10
Ruwanwella	20	25
Warakapola	29	11
Yatiyanthota	11	19
EASTERN PROVINCE		
Batticaloa District		
Batticaloa	14	18
Kalmunai RDHS		
Kalmunai North	21	13
NORTH CENTRAL PROVINCE		
Anuradhapura District		
Ipalogama	5	10
NORTH WESTERN PROVINCE		
Kurunegala District		
Galgamuwa	9	11
Pannala	30	28
Puttalam District		
Chilaw	11	11
Dankotuwa	33	14
Nattandiya	20	15
Wennappuwa	44	40
UVA PROVINCE		
Badulla District		
Badulla	48	23
Hali Ela	12	14
Mahiyanganaya	12	10
Rideemaliyadda	16	19
Monaragala District		
Siyambalanduwa	6	13
