hospital_name	n_cases_last_week	n_cases_this_week
	26	27
	26	27
	26	27
BH - Balangoda	30	31
BH - Balapitiya	20	36
BH - Dambadeniya	18	18
BH - Gampola	31	29
BH - Kahawatta	18	22
BH - Kamburupitiya	47	38
BH - Marawila	35	38
BH - Minuwangoda	18	24
BH - Nikaweratiya	7	21
BH - Panadura	82	86
BH - Tangalle	56	58
BH - Warakapola	17	20
BH - Wathupitiwala	25	31
DGH - Ampara	22	19
DGH - Awissawella	36	34
DGH - Chilaw	19	18
DGH - Embilipitiya	31	20
DGH - Gampaha	79	81
DGH - Hambantota	30	26
DGH - Horana	58	47
DGH - Kegalle	11	22
DGH - Matale	20	20
DGH - Nawalapitiya	18	20
DGH - Negambo	164	170
DGH - Polonnaruwa	19	17
Hospital	0	0
Hospital	0	0
Hospital	0	0
LRH	61	74
NH - Galle	109	123
NH - Kandy	93	107
NHSL	153	152
NIID	212	212
PGH - Badulla	33	35
TH - Anuradhapura	29	21
TH - Colombo North	137	142
TH - Colombo South	159	175
TH - Kalutara	62	61
TH - Kuliyapitiya	26	26
TH - Kurunegala	71	57
TH - Peradeniya	87	75
TH - Ratnapura	80	84
TH-Matara	197	197
