district_id	district_name	n_last_year_last_week	n_last_year_this_week	n_this_year_last_week	n_this_year_this_week	cum_n_last_year	cum_n_this_year
LK-11	Colombo	329	230	1178	1676	7713	14995
LK-12	Gampaha	193	153	1740	1867	4482	12280
LK-13	Kalutara	74	51	465	688	1248	4772
LK-21	Kandy	172	147	481	639	2277	3795
LK-22	Matale	16	14	43	79	663	656
LK-23	Nuwara Eliya	6	13	50	88	130	365
LK-31	Galle	61	53	247	407	1331	3501
LK-32	Matara	45	36	364	627	988	4422
LK-33	Hambantota	26	31	146	220	521	1754
LK-41	Jaffna	6	15	24	55	670	707
LK-42	Mannar	0	0	7	10	102	64
LK-43	Vavuniya	0	0	4	10	28	94
LK-44	Mullaitivu	1	2	1	0	16	34
LK-45	Kilinochchi	1	1	5	2	49	57
LK-51	Batticaloa	18	18	45	70	1531	1216
LK-52	Ampara	5	5	57	55	94	415
LK-52-Kalmunai	Kalmunai	7	21	43	71	314	783
LK-53	Trincomalee	6	4	24	47	792	563
LK-61	Kurunegala	41	56	184	258	862	1633
LK-62	Puttalam	4	13	171	155	420	1148
LK-71	Anuradhapura	17	6	95	87	307	531
LK-72	Polonnaruwa	9	9	58	66	213	482
LK-81	Badulla	14	17	95	128	441	772
LK-82	Monaragala	13	28	87	96	552	776
LK-91	Ratnapura	107	110	193	329	3461	3584
LK-92	Kegalle	38	53	191	186	855	1658
