District/ RDHS	No. of cases					
	2025		2026		Up to Week 33	
					2025	2026
	Week  32	Week 33	Week  32	Week 33		
Colombo	115	117	742*	623	8974	21987
Gampaha	88	100	759	606	5318	19671
Kalutara	36	32	257	167	1528	7168
Kandy	106	85	332	273	3045	6636
Matale	24	12	43	30	755	958
Nuwara Eliya	4	8	33	31	193	707
Galle	32	40	160*	121	1617	5066
Hambantota	18	16	71	51	667	2466
Matara	22	29	108*	92	1188	6039
Jaffna	14	10	43*	9	797	927
Kilinochchi	Nil	2	2	8	55	91
Mannar	3	1	1	1	116	92
Vavuniya	2	Nil	6	9	34	161
Mullaitivu	Nil	1	14	3	18	71
Batticaloa	8	6	37	33	1587	1483
Ampara	3	2	13*	19	118	631
Trincomalee	2	3	13	15	838	668
Kalmunai*	1	10	35	59	343	1043
Kurunegala	33	22	87*	68	1105	2602
Puttalam	12	8	94	65	507	1999
Anuradhapura	5	4	36	37	376	895
Polonnaruwa	5	18	13	19	263	729
Badulla	10	13	57*	69	538	1430
Monaragala	10	18	28	25	639	1149
Ratnapura	76	49	152	86	3946	4946
Kegalle	28	16	118	109	1030	2636
Total*	657	622	3254*		2628  35595  92251	
