MOH Area	Cases reported		
	Week 32	Week 33	
D4-CMC	21	12	
D5-CMC	16	11	
Gampaha District			
Aththanagalla	33	32	
Biyagama	79	40	
Divulapitiya	22	14	
Gampaha	46	58	
Ja-Ela	77	51	
Katana	47	50	
Kelaniya	81	43	
Mahara	88	58	
Meerigama	25	27	
Minuwangoda	36	38	
Negombo	43	38	
Pugoda(Dompe)	56	52	
Ragama	30	26	
Seeduwa	43	32	
Wattala	53	47	
Kalutara District			
Bandaragama	20	15	
Horana	26	10	
Panadura	74	40	
Wadduwa	24	17	
NIHS			
Kalutara	20	13	
Payagala	22	20	
