MOH Area	Cases reported	
	Week 32	Week 33
PROVINCE		
Kegalle District		
Mawanella	20	22
Ruwanwella	19	22
Warakapola	17	13
Yatiyanthota	9	10
EASTERN PROVINCE		
Trincomalee District		
Padavisripura	0	10
Kalmunai RDHS		
Kalmunai North	12	16
NORTH WESTERN PROVINCE		
Kurunegala District		
Pannala	13	11
Puttalam District		
Dankotuwa	19	16
Nattandiya	11	10
Wennappuwa	34	17
UVA PROVINCE		
Badulla District		
Badulla	16	14
Bandarawela	1	18
Welimada	5	15
