MOH Area	Cases reported	
	Week 32	Week 33
SOUTHERN PROVINCE		
Matara District		
Matara MC	16	13
Weligama	12	14
Galle District		
Baddegama	8	10
Imaduwa	14	12
MC-Galle	26	26
Hambantota District		
Katuwana	11	13
CENTRAL PROVINCE		
Kandy District		
Gampola	19	15
Gangawata Korale	13	10
Kandy MC	37	38
Kundasale	16	11
Kurunduwaththa	23	12
Menikhinna	13	12
Pasbage	30	30
Thalathuoya	13	10
Udunuwara	15	11
Waththegama	12	10
Werellagama	26	25
Yatinuwara	36	20
SABARAGAMUWA		
