Province	No of Cases	%
Western	44552	52.98%
Southern	12656	15.05%
Central	7277	8.65%
Sabaragamuwa	6942	8.26%
North Western	4135	4.92%
Eastern	3533	4.20%
Uva	2320	2.76%
North Central	1462	1.74%
Northern	1214	1.44%
