District/ Unit	No of Cases	%
Gampaha	17850	21.23%
Colombo	16716	19.88%
Kandy	5815	6.92%
Matara	5730	6.81%
Kalutara	5493	6.53%
Galle	4641	5.52%
Ratnapura	4617	5.49%
CMC	3429	4.08%
Kurunegala	2361	2.81%
Kegalle	2325	2.76%
Hambantota	2285	2.72%
Puttalam	1774	2.11%
Batticaloa	1388	1.65%
Badulla	1256	1.49%
