District/ Unit	No of Cases	%
Kalmunai	797	1.28%
Monaragala	786	1.26%
NIHS	716	1.15%
Jaffna	711	1.14%
Matale	664	1.06%
Trincomalee	566	0.91%
Anuradhapura	542	0.87%
Polonnaruwa	499	0.80%
Ampara	438	0.70%
Nuwaraeliya	369	0.59%
Vavuniya	101	0.16%
Mannar	67	0.11%
Kilinochchi	58	0.09%
Mullaitivu	36	0.06%
