Province	No of Cases	%
Western	32776	52.51%
Southern	9849	15.78%
Sabaragamuwa	5381	8.62%
Central	4936	7.91%
Eastern	3028	4.85%
North Western	2831	4.54%
Uva	1607	2.57%
North Central	1041	1.67%
Northern	973	1.56%
