District/ Unit	No of Cases	%
Colombo	12663	20.29%
Gampaha	12582	20.16%
Matara	4477	7.17%
Kalutara	4191	6.71%
Kandy	3903	6.25%
Ratnapura	3683	5.90%
Galle	3597	5.76%
CMC	2624	4.20%
Hambantota	1775	2.84%
Kegalle	1698	2.72%
Kurunegala	1657	2.65%
Batticaloa	1227	1.97%
Puttalam	1174	1.88%
Badulla	821	1.32%
