district_id	district_name	n_cases
LK-11	Colombo	10839
LK-11-CMC	CMC	2325
LK-12	Gampaha	10113
LK-13	Kalutara	3474
LK-13-NIHS	NIHS	554
LK-21	Kandy	3016
LK-22	Matale	545
LK-23	Nuwaraeliya	269
LK-31	Galle	3027
LK-32	Matara	3694
LK-33	Hambantota	1522
LK-41	Jaffna	648
LK-42	Mannar	54
LK-43	Vavuniya	84
LK-44	Mullaitivu	35
LK-45	Kilinochchi	54
LK-51	Batticaloa	1138
LK-52	Trincomalee	516
LK-52-Kalmunai	Kalmunai	706
LK-53	Ampara	354
LK-61	Kurunegala	1318
LK-62	Puttalam	974
LK-71	Anuradhapura	427
LK-72	Polonnaruwa	410
LK-81	Badulla	636
LK-82	Monaragala	661
LK-91	Ratnapura	3235
LK-92	Kegalle	1440
