District/ Unit	No of Cases	%
NIHS	1218	1.30%
Monaragala	1168	1.25%
Kalmunai	1063	1.14%
Matale	972	1.04%
Jaffna	938	1.00%
Anuradhapura	930	0.99%
Polonnaruwa	739	0.79%
Nuwaraeliya	718	0.77%
Trincomalee	671	0.72%
Ampara	642	0.69%
Vavuniya	161	0.17%
Mannar	94	0.10%
Kilinochchi	91	0.10%
Mullaitivu	74	0.08%
